fold,model,group,rules,include_overtime,feature,gain
1,xgboost,D,v2,False,vacation,0.027944771572947502
1,xgboost,D,v2,False,business_trip,0.014029737561941147
1,xgboost,D,v2,False,work_from_home,0.0
1,xgboost,D,v2,False,weekday_0,0.45136645436286926
1,xgboost,D,v2,False,weekday_1,0.004964292980730534
1,xgboost,D,v2,False,weekday_2,0.003154676640406251
1,xgboost,D,v2,False,weekday_3,0.0359802171587944
1,xgboost,D,v2,False,weekday_4,0.4280662536621094
1,xgboost,D,v2,False,weekday_5,0.0
1,xgboost,D,v2,False,weekday_6,0.0
1,xgboost,D,v2,False,menu_meat,0.0033623501658439636
1,xgboost,D,v2,False,menu_fish,0.003057957161217928
1,xgboost,D,v2,False,menu_noodles,0.001663639908656478
1,xgboost,D,v2,False,menu_special,0.0
1,xgboost,D,v2,False,menu_rice_bowl,0.003033220302313566
1,xgboost,D,v2,False,menu_soup,0.0
1,xgboost,D,v2,False,temp_mean,0.004546759650111198
1,xgboost,D,v2,False,temp_max,0.004068885929882526
1,xgboost,D,v2,False,temp_min,0.00531347468495369
1,xgboost,D,v2,False,humidity,0.003923545125871897
2,lightgbm,A,v2,True,employees,27414422.44317627
2,lightgbm,A,v2,True,vacation,91021941.41320801
2,lightgbm,A,v2,True,business_trip,103751824.88311768
2,lightgbm,A,v2,True,work_from_home,0.0
2,lightgbm,A,v2,True,overtime,168128858.0419922
2,lightgbm,B,v2,True,employees,19089171.239257812
2,lightgbm,B,v2,True,vacation,61584660.16540527
2,lightgbm,B,v2,True,business_trip,39835637.96142578
2,lightgbm,B,v2,True,work_from_home,0.0
2,lightgbm,B,v2,True,overtime,40265301.34313965
2,lightgbm,B,v2,True,weekday_0,160402128.4501953
2,lightgbm,B,v2,True,weekday_1,597103.2797241211
2,lightgbm,B,v2,True,weekday_2,92091.70874023438
2,lightgbm,B,v2,True,weekday_3,7990056.534057617
2,lightgbm,B,v2,True,weekday_4,66158993.490722656
2,lightgbm,B,v2,True,weekday_5,0.0
2,lightgbm,B,v2,True,weekday_6,0.0
2,lightgbm,C,v1,True,employees,20167387.48779297
2,lightgbm,C,v1,True,vacation,61380971.645996094
2,lightgbm,C,v1,True,business_trip,39388080.3861084
2,lightgbm,C,v1,True,work_from_home,0.0
2,lightgbm,C,v1,True,overtime,39731927.54345703
2,lightgbm,C,v1,True,weekday_0,160339482.2392578
2,lightgbm,C,v1,True,weekday_1,349342.79052734375
2,lightgbm,C,v1,True,weekday_2,78782.17028808594
2,lightgbm,C,v1,True,weekday_3,7921511.322509766
2,lightgbm,C,v1,True,weekday_4,66095880.40917969
2,lightgbm,C,v1,True,weekday_5,0.0
2,lightgbm,C,v1,True,weekday_6,0.0
2,lightgbm,C,v1,True,menu_meat,676099.3908691406
2,lightgbm,C,v1,True,menu_fish,901894.134765625
2,lightgbm,C,v1,True,menu_noodles,126376.94091796875
2,lightgbm,C,v1,True,menu_special,0.0
2,lightgbm,C,v1,True,menu_rice_bowl,576755.4671630859
2,lightgbm,C,v1,True,menu_soup,0.0
2,lightgbm,C,v2,True,employees,20288264.053649902
2,lightgbm,C,v2,True,vacation,60855999.86785889
2,lightgbm,C,v2,True,business_trip,39987808.592163086
2,lightgbm,C,v2,True,work_from_home,0.0
2,lightgbm,C,v2,True,overtime,40078187.28051758
2,lightgbm,C,v2,True,weekday_0,160291940.4765625
2,lightgbm,C,v2,True,weekday_1,399127.6298828125
2,lightgbm,C,v2,True,weekday_2,94530.98999023438
2,lightgbm,C,v2,True,weekday_3,8049675.28125
2,lightgbm,C,v2,True,weekday_4,65943435.54174805
2,lightgbm,C,v2,True,weekday_5,0.0
2,lightgbm,C,v2,True,weekday_6,0.0
2,lightgbm,C,v2,True,menu_meat,408849.25
2,lightgbm,C,v2,True,menu_fish,881913.3552246094
2,lightgbm,C,v2,True,menu_noodles,123189.90966796875
2,lightgbm,C,v2,True,menu_special,0.0
2,lightgbm,C,v2,True,menu_rice_bowl,618052.6129150391
2,lightgbm,C,v2,True,menu_soup,0.0
2,lightgbm,D,v1,True,employees,13927350.086547852
2,lightgbm,D,v1,True,vacation,57748848.41503906
2,lightgbm,D,v1,True,business_trip,38353339.5300293
